,Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,Return_Score,log_vol,Liquidity_Score,Composite_Score,MarketCap_B,Daily_Vol_M,ForwardPE,ProfitMargin,ROE,DebtToEquity
36,HOUS,3.26,13.96,Established,Pre-2025,Anywhere Real Estate Inc.,4.28,26906785.6584,Real Estate,0.2057,17.1079,0.4096,0.2669,1.98,85.54,269.5187,-0.02179,-8.0,204.934
37,NUTX,33.88,148.19,Established,Pre-2025,"Nutex Health, Inc.",4.37,20970112.0051,Healthcare,0.2161,16.8586,0.3823,0.266,1.33,28.08,125.170006,0.122880004,101.7,81.866
38,RKLB,28.74,75.99,Established,Pre-2025,Rocket Lab Corp,2.64,1367895523.5884,Industrials,0.0172,21.0365,0.8388,0.2637,45.53,2268.16,-730.52203,-0.35639,-23.2,40.33
39,WBD,10.57,28.51,Established,Pre-2025,"Warner Bros. Discovery, Inc.",2.7,1105411847.7821,Communication Services,0.0241,20.8235,0.8155,0.2616,71.15,609.17,-133.00732,0.01281,1.0,89.857
40,NB,1.55,5.95,Established,Pre-2025,NIOCORP DEVELOPMENTS LTD,3.84,63567438.8613,Basic Materials,0.1552,17.9676,0.5035,0.2597,0.76,22.87,-19.507694,0.0,-76.5,0.074
41,CIEN,83.61,246.06,Established,Pre-2025,CIENA CORP,2.94,570473696.0744,Technology,0.0517,20.162,0.7433,0.2592,31.62,502.63,32.5488,0.02586,4.4,59.608
42,LRCX,74.43,185.06,Established,Pre-2025,LAM RESEARCH CORP,2.49,1713528264.188,Technology,0.0,21.2618,0.8634,0.259,268.49,2032.95,37.125153,0.29657,62.3,43.991
43,NEM,37.47,101.22,Established,Pre-2025,NEWMONT Corp /DE/,2.7,924231585.3503,Basic Materials,0.0241,20.6445,0.796,0.2557,117.96,758.69,13.914787,0.33423,22.9,16.914
44,ARWR,19.79,67.79,Established,Pre-2025,"ARROWHEAD PHARMACEUTICALS, INC.",3.43,118750065.2167,Healthcare,0.108,18.5925,0.5718,0.2472,9.0,201.01,-14.429752,-0.0019699999,8.7,147.787
45,UUUU,5.74,16.68,Established,Pre-2025,ENERGY FUELS INC,2.91,373088903.6445,Energy,0.0483,19.7373,0.6969,0.2429,4.43,202.89,93.2995,-1.24166,-18.1,
46,IDR,10.47,41.13,Established,Pre-2025,"Idaho Strategic Resources, Inc.",3.93,25982004.8328,Basic Materials,0.1655,17.0729,0.4057,0.2376,0.76,40.67,61.537975,0.28998,18.1,3.851
47,CDE,6.05,17.55,Established,Pre-2025,"Coeur Mining, Inc.",2.9,303641557.5711,Basic Materials,0.0471,19.5314,0.6744,0.2353,13.08,363.86,14.162031,0.24034001,19.6,12.172
48,UAMY,1.86,5.93,Established,Pre-2025,UNITED STATES ANTIMONY CORP,3.19,144389301.5434,Basic Materials,0.0805,18.788,0.5931,0.2343,1.06,92.13,68.80909,-0.15492,-10.2,0.37
49,COMM,5.27,18.26,Established,Pre-2025,"CommScope Holding Company, Inc.",3.46,73944648.0816,Technology,0.1115,18.1188,0.52,0.2341,3.91,52.86,11.61064,0.17569,,
50,GH,33.76,101.74,Established,Pre-2025,"Guardant Health, Inc.",3.01,222671484.7712,Healthcare,0.0598,19.2212,0.6405,0.234,13.97,189.74,-74.91362,-0.44184,,
51,KTOS,27.48,79.29,Established,Pre-2025,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",2.89,262122831.9862,Industrials,0.046,19.3843,0.6583,0.2297,19.12,317.56,149.58852,0.015570001,1.2,6.778
52,INSM,69.86,177.12,Established,Pre-2025,INSMED Inc,2.54,523749453.6961,Healthcare,0.0057,20.0765,0.7339,0.2242,37.28,313.47,-49.868073,-2.6482801,-165.7,78.274
53,SLS,1.08,4.35,Established,Pre-2025,"SELLAS Life Sciences Group, Inc.",4.03,11703182.5949,Healthcare,0.177,16.2754,0.3186,0.2195,0.56,71.57,-10.410837,0.0,-84.3,1.313
54,BETR,9.85,34.74,Established,Pre-2025,Better Home & Finance Holding Co,3.53,39082449.095,Financial Services,0.1195,17.4812,0.4503,0.2188,0.62,15.75,-15.450788,-1.27229,-875.5,1321.318
55,TDUP,1.56,6.07,Established,Pre-2025,ThredUp Inc.,3.89,14422567.2732,Consumer Cyclical,0.1609,16.4843,0.3414,0.2151,0.75,10.42,-57.788464,-0.12181,-35.4,91.918
56,ATRO,15.96,56.61,Established,Pre-2025,ASTRONICS CORP,3.55,31849068.1669,Industrials,0.1218,17.2765,0.428,0.2137,2.35,43.86,26.962206,-0.0037200002,-1.7,348.355
57,BLBX,2.2,9.66,Established,Pre-2025,BLACKBOXSTOCKS INC.,4.39,3230668.4615,Technology,0.2184,14.9882,0.1779,0.2063,0.04,0.7,-24.07907,-1.5778999,-68.1,38.837
58,LASR,10.75,38.37,Established,Pre-2025,"NLIGHT, INC.",3.57,23351743.6657,Technology,0.1241,16.9662,0.3941,0.2051,2.07,22.87,163.16,-0.19127001,-19.2,14.33
59,TTMI,24.94,70.61,Established,Pre-2025,TTM TECHNOLOGIES INC,2.83,142868226.0465,Technology,0.0391,18.7774,0.592,0.205,7.53,91.01,25.482517,0.04741,8.1,60.293
60,BBIO,28.12,78.24,Established,Pre-2025,"BridgeBio Pharma, Inc.",2.78,143664098.6617,Healthcare,0.0333,18.783,0.5926,0.2011,14.62,136.36,-40.952766,-2.25315,,
61,BW,1.78,6.35,Established,Pre-2025,"Babcock & Wilcox Enterprises, Inc.",3.57,20061343.3047,Industrials,0.1241,16.8143,0.3775,0.2001,0.86,24.08,-258.91666,-0.15051,,
62,PGEN,1.2,4.28,Established,Pre-2025,"PRECIGEN, INC.",3.57,19079358.4341,Healthcare,0.1241,16.7641,0.372,0.1985,1.64,17.51,-21.090908,0.0,-507.7,234.528
