#{"t_start": 1763888082.012668, "env_id": "None"}
r,l,t
4.9777694,18,0.022179
5.789226,18,0.028729
4.19971,18,0.035386
4.818979,18,0.042093
5.394569,18,0.048588
3.8650544,18,0.055066
4.672449,18,0.061716
3.0745084,18,0.071703
2.9073884,18,0.103388
4.479901,18,0.122984
5.0539527,18,0.14015
4.455212,18,0.146787
3.86326,18,0.153588
3.9659784,18,0.160062
2.9627502,18,0.582706
4.388249,18,0.589363
4.2698956,18,0.595696
4.936472,18,0.602175
4.9591746,18,0.608518
4.593502,18,0.614735
5.112613,18,0.621733
3.8413823,18,0.62802
3.812338,18,0.634434
6.155378,18,0.643161
4.7031116,18,0.649485
5.1304765,18,0.656213
3.328598,18,0.662599
2.6399248,18,0.669089
5.3260326,18,1.074157
5.0462484,18,1.080562
3.1402843,18,1.087459
4.550479,18,1.093796
3.5880384,18,1.100094
4.98701,18,1.107195
4.125821,18,1.113667
4.2222567,18,1.120326
5.421043,18,1.126704
3.2649329,18,1.133037
3.8231902,18,1.139421
4.0517654,18,1.145741
4.7039213,18,1.152094
4.6785035,18,1.158367
5.099963,18,1.570113
3.6227434,18,1.57834
4.3189545,18,1.585922
4.537227,18,1.592509
5.2403455,18,1.598911
5.0884295,18,1.605311
5.1064153,18,1.61177
4.205237,18,1.618458
4.22431,18,1.624976
4.936836,18,1.631357
2.5081701,18,1.63785
4.6742244,18,1.644275
5.376522,18,1.650661
5.7234406,18,1.65712
4.293133,18,2.08834
4.2340283,18,2.094799
4.067297,18,2.105058
4.0675106,18,2.111796
4.3358097,18,2.119635
6.06993,18,2.126414
6.965984,18,2.132946
4.6813736,18,2.140403
3.686532,18,2.146716
6.0380507,18,2.153978
4.049016,18,2.160459
5.1453,18,2.16689
4.453843,18,2.173988
5.4908853,18,2.180276
3.4721527,18,2.187453
5.490346,18,2.607702
4.21465,18,2.614229
5.2401247,18,2.620866
4.802779,18,2.629793
5.060132,18,2.636666
4.7426414,18,2.643263
3.4615192,18,2.649711
3.2779934,18,2.656076
5.521768,18,2.662406
5.101573,18,2.669033
5.7499213,18,2.675306
6.667834,18,2.681653
5.350564,18,2.688052
5.623998,18,2.694337
5.602113,18,3.111905
5.431523,18,3.119071
4.714387,18,3.125838
4.6175375,18,3.132402
5.6327047,18,3.139512
5.0437517,18,3.200405
4.139121,18,3.216523
6.3382435,18,3.224301
4.466729,18,3.230792
5.243788,18,3.238219
5.5881934,18,3.244766
5.241441,18,3.254539
4.9656405,18,3.261582
4.888581,18,3.268136
4.801352,18,3.705943
5.082612,18,3.712514
5.247866,18,3.719467
6.113494,18,3.726295
7.0092416,18,3.732879
5.558234,18,3.739743
4.0942326,18,3.746106
5.507848,18,3.752935
6.23437,18,3.759613
5.7617245,18,3.766119
5.392777,18,3.772989
5.1251397,18,3.781862
6.464933,18,3.84163
5.732832,18,3.84889
5.075745,18,4.282804
5.9719887,18,4.289667
6.1335344,18,4.29625
6.716285,18,4.306012
4.270523,18,4.312752
5.211785,18,4.319395
5.363736,18,4.32592
6.410436,18,4.332277
5.967996,18,4.338775
6.178665,18,4.3452
5.368207,18,4.351603
5.0608377,18,4.358039
5.7274423,18,4.364393
4.5616407,18,4.370718
5.9781923,18,4.37714
6.045167,18,4.79229
5.8557444,18,4.798907
6.182725,18,4.806415
6.024097,18,4.812812
5.5228047,18,4.820015
6.5284247,18,4.828789
5.6254306,18,4.835887
7.1651006,18,4.843859
5.337053,18,4.853424
4.8425813,18,4.861299
6.4371357,18,4.878603
6.047913,18,4.923197
7.5972757,18,4.941606
5.8992434,18,4.948172
5.465979,18,5.44682
6.0650725,18,5.454505
6.0147448,18,5.463472
5.5078626,18,5.470837
5.9854965,18,5.477402
6.5975785,18,5.483806
6.2138977,18,5.491127
6.1958413,18,5.49759
5.83934,18,5.504799
6.2127438,18,5.511165
4.7144427,18,5.517572
4.533036,18,5.52459
5.865168,18,5.530991
5.991686,18,5.538231
5.2226434,18,5.96576
6.037954,18,5.972594
6.399711,18,5.981628
6.5053086,18,5.988328
7.6570835,18,5.994705
6.1631618,18,6.001191
4.768362,18,6.007634
6.93572,18,6.014261
5.9393325,18,6.020694
5.336185,18,6.027
6.5313153,18,6.033297
6.905859,18,6.039726
5.168499,18,6.046072
5.0976233,18,6.052561
5.735555,18,6.463851
6.6577544,18,6.470629
5.828504,18,6.477011
5.005733,18,6.483297
7.2751856,18,6.489699
6.4531903,18,6.49601
5.632323,18,6.502644
5.7365575,18,6.511481
6.2518215,18,6.51799
6.6959434,18,6.524906
7.302693,18,6.531376
6.9744353,18,6.537891
5.4581347,18,6.544298
6.74027,18,6.55062
6.1069326,18,6.959296
5.7834525,18,6.965857
6.3949976,18,6.972742
3.704731,18,6.979464
5.8025002,18,6.986107
6.6163216,18,6.992472
6.0341077,18,6.998716
7.021646,18,7.005102
6.1922836,18,7.01153
6.579088,18,7.017939
5.227838,18,7.024309
6.1156406,18,7.03291
6.992753,18,7.039553
6.180005,18,7.045948
6.1589384,18,7.052411
6.2194386,18,7.459443
5.6364236,18,7.465798
6.9764204,18,7.472501
6.9337645,18,7.478979
5.249671,18,7.48551
6.271762,18,7.491905
6.373605,18,7.498245
5.6270704,18,7.505012
7.2934494,18,7.511454
6.619851,18,7.517952
6.7427545,18,7.524501
7.769552,18,7.530962
6.5777154,18,7.537392
5.423303,18,7.543626
6.2962537,18,7.969746
6.879477,18,7.979325
6.6760993,18,7.986644
6.632567,18,7.993221
6.1521206,18,7.999686
6.4492426,18,8.007214
6.5032897,18,8.013683
6.997554,18,8.021017
6.5219083,18,8.027576
5.44653,18,8.077025
6.213543,18,8.088871
6.2073097,18,8.095874
6.6734486,18,8.103287
6.380047,18,8.110329
6.057253,18,8.58868
6.315589,18,8.595196
6.4714675,18,8.604445
6.9603004,18,8.612138
6.229157,18,8.61942
6.176644,18,8.626365
6.0588355,18,8.632885
6.0658545,18,8.640125
7.057814,18,8.64662
7.5447187,18,8.653235
8.343481,18,8.659765
6.4741573,18,8.66617
6.1910834,18,8.672886
7.3825765,18,8.679176
6.5506816,18,9.084437
7.1371684,18,9.091581
6.6144156,18,9.098125
6.482885,18,9.104546
7.2996106,18,9.111029
6.6663,18,9.117328
7.5417905,18,9.126282
6.941227,18,9.132703
7.6566777,18,9.139252
6.7975264,18,9.145649
7.3554897,18,9.152179
5.617027,18,9.15852
6.836903,18,9.164773
6.087927,18,9.171221
7.5669456,18,9.17747
6.9942455,18,9.57991
6.795501,18,9.587049
7.5646443,18,9.593495
7.272268,18,9.599835
7.093236,18,9.606245
6.143176,18,9.61252
7.2058725,18,9.618915
7.188436,18,9.625227
6.562654,18,9.631658
7.509323,18,9.638293
7.04253,18,9.647001
6.178935,18,9.653644
