#{"t_start": 1763888281.1522071, "env_id": "None"}
r,l,t
12.942684,49,0.02872
14.80252,49,0.048031
11.870455,49,0.066607
12.006128,49,0.085007
13.971631,49,0.10358
13.490277,49,0.996867
10.92344,49,1.015414
15.292699,49,1.034339
15.201115,49,1.054527
14.401979,49,1.073809
16.383745,49,1.874394
14.7030325,49,1.892726
14.134249,49,1.914076
14.560387,49,1.932968
15.656253,49,1.951329
15.673522,49,2.780798
14.622513,49,2.799621
13.144297,49,2.818405
11.970651,49,2.836844
15.322784,49,2.857778
11.875369,49,3.665234
16.726898,49,3.686979
15.656078,49,3.705848
15.689521,49,3.724731
13.204852,49,3.743063
16.069023,49,3.761491
13.611254,49,4.643604
15.485325,49,4.66194
15.12677,49,4.680492
12.991345,49,4.698856
15.489101,49,4.717126
11.1419525,49,5.534131
13.900509,49,5.552897
14.206706,49,5.574656
13.927436,49,5.593584
14.739283,49,5.612517
14.461028,49,6.39411
17.57213,49,6.415665
12.610951,49,6.434613
14.970286,49,6.453022
15.653716,49,6.51913
17.330246,49,7.370206
15.036338,49,7.389222
13.1757,49,7.407853
17.996622,49,7.426365
17.232178,49,7.444853
16.254139,49,7.465589
14.977323,49,8.302732
14.34028,49,8.322008
12.066166,49,8.340613
13.983682,49,8.358872
13.565706,49,8.377143
14.514392,49,9.229192
16.496994,49,9.247747
13.694548,49,9.268867
16.444294,49,9.287266
15.793143,49,9.305451
16.084799,49,10.112487
15.141943,49,10.131382
16.5835,49,10.149775
15.961567,49,10.168371
16.800928,49,10.186569
16.637344,49,11.025188
14.364037,49,11.046901
18.215242,49,11.065552
14.781784,49,11.083849
15.045223,49,11.102547
15.735796,49,11.929633
18.585337,49,11.949063
15.376418,49,11.967594
15.364865,49,11.988869
13.987092,49,12.008067
16.263483,49,12.02706
18.698399,49,12.887009
16.875305,49,12.906178
19.415274,49,12.958982
16.037798,49,12.983157
15.965102,49,13.001999
17.548431,49,13.829846
16.2453,49,13.848677
16.70949,49,13.869927
17.565327,49,13.930682
18.755676,49,13.949801
15.747085,49,14.756267
16.670906,49,14.775123
16.487423,49,14.793681
14.524685,49,14.814757
17.161802,49,14.833468
17.827639,49,15.694755
17.890036,49,15.71394
16.639652,49,15.73276
17.683277,49,15.754037
16.708982,49,15.772588
15.910068,49,15.790943
17.687078,49,16.651754
13.882627,49,16.671101
16.720417,49,16.692041
18.652784,49,16.710674
16.346771,49,16.729368
18.551893,49,17.609685
19.574886,49,17.631184
17.156345,49,17.649582
16.711206,49,17.66811
18.589428,49,17.68674
17.905521,49,18.493756
18.361347,49,18.512614
15.587762,49,18.531433
17.275942,49,18.549886
15.717108,49,18.570548
16.210821,49,19.399459
17.266233,49,19.421033
16.696836,49,19.439751
18.635092,49,19.458579
17.112642,49,19.477198
17.78299,49,20.299651
17.251389,49,20.318484
19.026062,49,20.336784
18.321232,49,20.358146
19.404867,49,20.376669
18.441025,49,20.39501
18.321953,49,21.222625
18.059994,49,21.241536
18.057209,49,21.303106
18.236414,49,21.322081
18.963148,49,21.340777
18.849487,49,22.189947
16.41119,49,22.208759
17.388948,49,22.227462
17.814125,49,22.248174
18.801224,49,22.266793
16.156715,49,23.0467
18.805649,49,23.065788
16.412699,49,23.086588
16.887344,49,23.105344
17.18133,49,23.123696
20.148396,49,23.967095
18.378963,49,23.985969
19.238596,49,24.004877
19.118483,49,24.026174
18.9118,49,24.044579
19.744656,49,24.06328
18.766787,49,24.908371
18.679205,49,24.926911
17.378498,49,24.946122
19.919899,49,24.966988
19.28191,49,24.985558
18.81007,49,25.855378
18.510311,49,25.874857
19.66732,49,25.894429
18.305443,49,25.915504
20.64341,49,25.934339
19.450874,49,26.748638
18.539711,49,26.767355
19.49256,49,26.786331
19.30419,49,26.805423
18.37403,49,26.83206
18.98092,49,27.684622
18.692299,49,27.706218
19.345192,49,27.724929
17.849146,49,27.743607
20.036003,49,27.762203
19.874393,49,28.584978
20.347544,49,28.603939
18.674322,49,28.665631
19.295847,49,28.684213
20.435112,49,28.702327
19.42965,49,28.720589
19.62821,49,29.580046
21.14676,49,29.598388
18.917152,49,29.616671
18.0909,49,29.634691
19.342592,49,29.653106
20.210686,49,30.455378
18.940937,49,30.474201
19.415508,49,30.492769
20.3324,49,30.511167
19.860796,49,30.531597
19.742582,49,31.306905
18.884897,49,31.325038
19.016357,49,31.34411
17.44676,49,31.364573
17.98778,49,31.383177
19.881584,49,32.211764
18.675415,49,32.230743
19.81405,49,32.249182
20.104162,49,32.267863
21.331816,49,32.286235
18.669357,49,32.306677
20.993652,49,33.12087
19.944021,49,33.139409
19.899881,49,33.159924
18.558447,49,33.178022
18.507107,49,33.19594
17.895538,49,34.046801
18.312838,49,34.065272
20.041365,49,34.083543
17.213026,49,34.104238
19.622112,49,34.122814
20.188726,49,34.906583
21.096426,49,34.925681
19.410654,49,34.946311
20.246267,49,34.964781
18.55827,49,34.983083
19.392317,49,35.759179
20.396036,49,35.820647
20.728567,49,35.838878
21.376932,49,35.892328
19.119184,49,35.911159
19.311237,49,36.730288
19.616014,49,36.749154
19.126968,49,36.767456
20.500437,49,36.785618
19.609322,49,36.804101
20.727516,49,36.825476
20.01306,49,37.645734
20.661818,49,37.666552
18.845291,49,37.685242
19.428932,49,37.703575
20.237803,49,37.721924
20.19535,49,38.564588
21.5561,49,38.583206
21.215408,49,38.603898
21.256582,49,38.622567
18.1748,49,38.640886
20.211153,49,39.413515
20.083092,49,39.434142
20.726513,49,39.452375
20.93395,49,39.470659
20.145527,49,39.489268
20.179253,49,40.321789
19.980972,49,40.34056
19.963518,49,40.358606
19.141472,49,40.379299
20.47153,49,40.397499
19.325062,49,40.415793
20.021479,49,41.268558
19.262812,49,41.287195
20.727592,49,41.305318
20.528194,49,41.326409
20.776047,49,41.344779
19.939034,49,42.180786
21.121746,49,42.19904
20.425495,49,42.217179
20.664255,49,42.236012
20.250237,49,42.296629
19.383472,49,43.067832
19.861532,49,43.086043
21.500854,49,43.106961
20.418938,49,43.125777
21.15848,49,43.144024
19.348658,49,43.938297
19.9776,49,43.978945
19.657381,49,43.997471
21.288645,49,44.015825
21.03273,49,44.036476
20.701551,49,44.054902
21.375416,49,44.879356
21.017061,49,44.897673
20.08336,49,44.915963
21.734053,49,44.934706
20.349823,49,44.952934
19.419628,49,45.784158
20.69676,49,45.802191
20.865053,49,45.823345
20.608843,49,45.842103
20.00798,49,45.86024
21.191568,49,46.686031
20.015303,49,46.704137
21.188688,49,46.722163
19.79781,49,46.740298
22.130154,49,46.758629
19.456919,49,47.539156
21.413805,49,47.557372
20.276537,49,47.575436
21.206846,49,47.594033
20.777174,49,47.615184
20.985447,49,48.430693
20.089237,49,48.451597
20.458366,49,48.469864
21.173553,49,48.487962
21.706785,49,48.506033
22.022976,49,48.525034
21.06525,49,49.328833
20.96317,49,49.347929
20.888079,49,49.366486
20.822891,49,49.426726
20.009878,49,49.445372
20.895117,49,50.312058
21.84356,49,50.330068
21.805159,49,50.351172
22.012394,49,50.37013
20.895649,49,50.415993
20.665262,49,51.186159
20.708965,49,51.204917
21.614447,49,51.223566
21.943264,49,51.242584
21.493721,49,51.261397
21.375294,49,52.044577
21.229881,49,52.063192
21.12647,49,52.08161
21.985264,49,52.100149
22.047974,49,52.11864
20.680508,49,52.138884
21.65641,49,52.993877
19.945286,49,53.012011
20.52058,49,53.030691
22.172915,49,53.049234
18.926485,49,53.069683
19.622454,49,53.879012
20.961538,49,53.897003
21.674915,49,53.917614
19.566416,49,53.93599
21.679348,49,53.954035
19.994438,49,54.76837
21.749462,49,54.787604
21.681429,49,54.806229
21.726624,49,54.825026
21.331882,49,54.843664
20.309008,49,55.617466
22.63678,49,55.636002
22.125225,49,55.654339
21.150425,49,55.673011
20.719185,49,55.693955
21.610271,49,56.491709
22.861763,49,56.510515
21.353668,49,56.529326
21.864319,49,56.589613
21.934187,49,56.60872
21.267784,49,56.627247
22.388035,49,57.482595
22.930397,49,57.501573
20.621267,49,57.520138
20.930214,49,57.538549
20.944351,49,57.557229
22.554228,49,58.344454
22.770565,49,58.36292
23.364592,49,58.381523
21.351088,49,58.399845
22.06882,49,58.418062
22.698149,49,59.222626
22.402246,49,59.241392
21.925318,49,59.259982
21.222256,49,59.281316
22.25383,49,59.300217
22.547117,49,60.094405
21.21656,49,60.115622
22.155117,49,60.134341
22.535002,49,60.152691
20.44416,49,60.170585
22.923246,49,60.189129
21.028866,49,61.003582
22.874643,49,61.022583
23.414793,49,61.041032
22.649515,49,61.087799
22.648165,49,61.109184
22.328259,49,61.90452
22.642237,49,61.923244
23.098007,49,61.942048
20.697834,49,61.960334
22.127329,49,61.979067
22.933031,49,62.756668
22.145317,49,62.774978
23.102179,49,62.793551
21.953602,49,62.812298
22.755285,49,62.830721
22.515862,49,63.647642
21.706085,49,63.665919
23.535072,49,63.727519
22.052876,49,63.746101
22.412397,49,63.764582
22.410362,49,64.566642
22.137394,49,64.585608
22.213436,49,64.604081
22.498259,49,64.624732
22.825813,49,64.643004
22.39067,49,64.661659
21.542723,49,65.524745
22.286928,49,65.543151
22.043653,49,65.564157
22.959808,49,65.582271
22.133232,49,65.600222
21.938997,49,66.394926
22.71291,49,66.416039
22.278818,49,66.43517
22.585619,49,66.453771
22.404537,49,66.472062
22.822897,49,67.237273
22.811752,49,67.258298
22.113495,49,67.276808
22.230234,49,67.295336
22.427586,49,67.313742
23.233532,49,68.136797
21.723679,49,68.154877
22.114218,49,68.173875
22.776115,49,68.194906
21.828592,49,68.213712
22.213282,49,68.232705
22.17055,49,69.055935
23.438547,49,69.074538
23.282696,49,69.093175
22.093145,49,69.111663
23.62957,49,69.132346
22.759073,49,69.955376
22.959795,49,69.976755
22.316525,49,69.995149
22.850727,49,70.013305
23.303823,49,70.03145
23.67493,49,70.816024
22.500828,49,70.875858
22.755276,49,70.896004
22.705954,49,70.917172
21.592682,49,70.93627
23.844368,49,71.709363
22.141096,49,71.728541
23.482082,49,71.747232
22.806866,49,71.767922
22.832422,49,71.81689
22.782911,49,72.614931
23.224525,49,72.633822
23.621914,49,72.652311
22.328804,49,72.670732
22.319206,49,72.689161
23.02647,49,72.709954
22.390003,49,73.524859
23.361992,49,73.546151
23.230818,49,73.564493
22.891628,49,73.58313
22.474695,49,73.601503
23.044418,49,74.417131
23.077986,49,74.435637
23.827217,49,74.454014
23.519192,49,74.472387
23.556423,49,74.493452
23.645363,49,75.257849
23.72667,49,75.276525
22.814543,49,75.294901
22.956917,49,75.313223
22.961222,49,75.333849
23.682413,49,76.148124
23.019943,49,76.166786
22.806704,49,76.188195
23.09856,49,76.206453
23.278194,49,76.224679
23.596424,49,76.243398
23.379314,49,77.053577
23.147158,49,77.071766
23.320398,49,77.09065
23.734058,49,77.109263
23.443327,49,77.169294
22.842402,49,77.962541
22.868996,49,77.98117
23.18049,49,77.999133
22.865303,49,78.01737
23.71395,49,78.035668
23.840218,49,78.849424
22.179163,49,78.868226
22.780588,49,78.886733
23.515766,49,78.907947
