#{"t_start": 1763888638.320008, "env_id": "None"}
r,l,t
36.851353,79,75.231736
36.82444,79,76.069076
37.362656,79,76.103508
35.96435,79,76.135233
35.13297,79,76.937114
36.81288,79,76.968724
35.859367,79,76.999813
36.415077,79,77.033875
36.69551,79,77.891464
36.475536,79,77.923587
38.43226,79,77.954564
36.621414,79,78.791416
37.589817,79,78.823413
36.865192,79,78.857112
36.434486,79,79.723132
36.117775,79,79.754885
35.6405,79,79.789226
38.194366,79,80.617499
37.878784,79,80.648991
36.321255,79,80.680364
35.90513,79,80.710944
36.041977,79,81.547349
37.606213,79,81.581397
37.45182,79,81.612829
37.81228,79,82.453543
36.273567,79,82.485073
37.764374,79,82.51855
37.45717,79,83.315038
37.16127,79,83.349162
35.749886,79,83.381069
38.394676,79,84.174786
37.241623,79,84.223401
36.94335,79,84.276189
38.009377,79,84.310176
37.224854,79,85.144419
37.712807,79,85.175743
37.58326,79,85.207447
36.559196,79,85.998319
37.59094,79,86.030064
37.1599,79,86.084084
36.569588,79,86.96404
37.528774,79,86.995133
38.142197,79,87.029303
38.5629,79,87.815689
37.811478,79,87.850423
37.820457,79,87.882198
37.921192,79,87.913578
38.358715,79,88.809016
38.323235,79,88.840485
37.12749,79,88.871709
37.766132,79,89.659683
37.235676,79,89.691825
36.19069,79,89.723317
37.67056,79,90.550082
39.239788,79,90.584192
38.675446,79,90.615127
38.512253,79,91.438633
38.531563,79,91.470985
36.622326,79,91.502089
36.934387,79,91.535393
37.682762,79,92.391231
38.37414,79,92.42218
37.488533,79,92.454178
37.42343,79,93.294414
36.58543,79,93.328554
38.25,79,93.38226
38.07344,79,94.227922
38.449036,79,94.262009
38.44468,79,94.293803
38.01723,79,95.157222
36.86832,79,95.190624
37.549072,79,95.22263
38.179237,79,95.253743
38.77155,79,96.113541
38.119507,79,96.148094
38.53429,79,96.179175
37.545315,79,97.031096
37.866722,79,97.062733
37.854206,79,97.096325
37.56037,79,97.912893
37.504616,79,97.945726
37.734196,79,97.977531
38.81864,79,98.785614
38.04047,79,98.817491
38.20284,79,98.848529
38.524036,79,99.691239
37.659317,79,99.725901
39.462273,79,99.757528
38.19475,79,99.788241
38.50999,79,100.644786
38.137524,79,100.698555
37.871502,79,100.731619
37.495922,79,101.548762
38.80663,79,101.580613
37.19879,79,101.615254
38.591255,79,102.418161
39.068066,79,102.452971
37.850513,79,102.484828
38.0628,79,103.329769
38.266167,79,103.364242
38.61203,79,103.395856
37.64565,79,103.427598
38.198627,79,104.313425
38.24329,79,104.345295
37.31291,79,104.376543
38.48198,79,105.229414
38.445915,79,105.263688
39.431885,79,105.295135
37.442738,79,106.093328
38.53829,79,106.124961
38.969547,79,106.156357
38.191372,79,106.960983
38.35665,79,106.993293
38.94278,79,107.026763
39.758553,79,107.058548
38.831158,79,107.988788
39.042496,79,108.024362
39.453465,79,108.056706
39.064857,79,108.880559
38.775192,79,108.914217
38.625916,79,108.946343
38.267006,79,109.799974
38.216873,79,109.831394
39.368816,79,109.864968
39.36819,79,110.668708
38.65664,79,110.702717
38.605404,79,110.734589
38.508812,79,110.765974
39.53556,79,111.632781
38.479813,79,111.666862
39.964825,79,111.698819
38.130806,79,112.494893
38.85354,79,112.526972
39.711185,79,112.558808
38.56897,79,113.345716
39.18829,79,113.376866
39.548637,79,113.408469
39.474674,79,114.214624
39.57342,79,114.246751
40.012966,79,114.280016
38.7924,79,114.312246
39.36761,79,115.184149
39.15767,79,115.215831
38.557747,79,115.250095
39.093506,79,116.08081
38.691017,79,116.112831
39.194683,79,116.144252
38.91123,79,116.967484
38.798904,79,116.999057
39.090084,79,117.033278
39.532593,79,117.857286
