,AMD,ASML,GOOG,MSFT,MU,NVDA,QQQ
2018-01-05,0.14465608951611905,0.05075505657350122,0.051979605847735706,0.030509475474499795,0.10778933334481841,0.1072194520084274,0.03878600598552068
2018-01-12,0.011715643622988247,-0.010996985242636616,0.01800905355018689,0.01586156233530705,-0.06751224654539191,0.034585210344593165,0.01574744119323745
2018-01-19,0.04633089298546365,0.12776476679936347,0.013497274140887444,0.004454319957247242,-0.0014025627636544253,0.031475179709409884,0.01118420368837873
2018-01-26,0.028192913240961216,0.004805509677781881,0.03314103691290937,0.04412348450784764,0.021292146533455597,0.05586119772321984,0.027220003170475616
2018-02-02,-0.03937516582633867,-0.05955651739844779,-0.05591251200090896,-0.024538381729365667,-0.06748923743268505,-0.04115069943223156,-0.037674953192209384
2018-02-09,-0.09603328036123068,-0.05765154743929414,-0.068986333069412,-0.04001431182302633,-0.010094847586045138,-0.006185821260557533,-0.053082103888238454
2018-02-16,0.04410565892994125,0.04555194732868382,0.05348781907574188,0.047094945551746946,0.08987370315329117,0.04943017415388986,0.05520603684947564
2018-02-23,0.020930023666256004,0.023597121322952663,0.02880122086513231,0.022144211376467406,0.05114649200224028,0.009156027914058234,0.019272263519109798
2018-03-02,-0.021776344085716888,-0.01665052784479399,-0.04341233216001374,-0.010796014960057538,0.05396547555936812,-0.038929476729114024,-0.013047539829928881
2018-03-09,-0.009357840238311585,0.07865468361261434,0.07249378484083349,0.03682038721921152,0.10578774892779105,0.036486684558828024,0.042288504197080044
2018-03-16,-0.019853871079677687,0.02196264448297697,-0.02117878267471833,-0.020300062441264227,0.10411418258500087,0.020774864035450497,-0.012435609333427827
2018-03-23,-0.0760547513022074,-0.07239906149985348,-0.10593489378234831,-0.08168222181658097,-0.11109950313869917,-0.07246939534448972,-0.07434208275723557
2018-03-30,-0.05610754963602219,-0.0027661099592197176,0.00995456330443162,0.045847048048639136,-0.0389329755168115,-0.005941324079033733,0.010168577154400688
2018-04-06,-0.04476846622705018,-0.019990875046449766,-0.024279949006099522,-0.011460097704119735,-0.07319368368190483,-0.0778247758020091,-0.022099801115317726
2018-04-13,0.032756321533160035,0.05507531998764508,0.021834503384523335,0.031097275883024862,0.07491847661821607,0.07743620500593974,0.029813270286458683
2018-04-20,0.0060240609595794805,-0.06338207620288172,0.04157134310536349,0.020417648451655408,-0.03131051476414877,-0.012124740592007787,0.0057467750415802635
2018-04-27,0.10626100300003284,0.0022173582157003174,-0.04081397020999564,0.00859441812434172,-0.06319585338548239,-0.010460914803818333,-0.0012946284323436625
2018-05-04,0.01518564964774566,0.01941881329175197,0.017476755969361907,-0.006911703125703197,0.0012618638372593573,0.05472037313016718,0.01700532876712307
2018-05-11,0.0577000400192972,0.01668787168595847,0.046643120279556964,0.026341900862285012,0.08536328530950257,0.06270410562912133,0.027459811784870215
2018-05-18,0.08421809504509359,-0.007371140650151247,-0.02947607100530711,-0.009485404489547024,0.029847444343822332,-0.034331244040906206,-0.011872162630165727
2018-05-25,0.040698907205238215,0.018874227178056105,0.008683414037953526,0.02054326881646861,0.13897183633580878,0.014107499033709711,0.013405371926353205
2018-06-01,0.06157991542422638,0.005257025877723917,0.039947723713677386,0.024404679157272856,-0.04347421607297353,0.03290886603598338,0.01763739778109456
2018-06-08,0.05735132296241926,0.025830843994107164,0.0012230250726361978,0.00829953686882528,0.044126060415558284,0.017927193969140047,0.009793232518554445
2018-06-15,0.06903659571674027,0.034910167949607405,0.02762002269684407,-0.014869370509894538,-0.052846436247649384,0.011297619369739477,0.014456085923589707
2018-06-22,-0.033606146665413165,-0.04012999853252608,0.0027905892536381344,0.0027927601527919814,-0.019596547489120063,-0.05545659057509834,-0.007285818772504849
2018-06-29,-0.05262665525920993,-0.04155503681046229,-0.03507861750649939,-0.018089337105772228,-0.08513453317986934,-0.057615489832856345,-0.021155401108159725
2018-07-06,0.08745607163661516,-0.0032885597045368264,0.021740170244861943,0.025530884662204913,0.014952683977343884,0.04308484055425403,0.022808247104478225
2018-07-13,-0.005516419115763058,0.009432285086923413,0.041783896011052805,0.04134347212089086,0.056960062786620635,0.008014194814049714,0.022522036403026007
2018-07-20,0.01403743154014497,0.09850435352425371,-0.003294407549786773,0.00793602755595684,-0.02388565317007734,0.006277250518174399,-0.0034579547462757145
2018-07-27,0.13791573504873678,-0.030063800406133254,0.04423416569343408,0.013180803883962719,-0.019453655021232898,0.00449392377026505,-0.007683322152387794
2018-08-03,-0.024046082934920547,0.006914503317889767,-0.012013748072198047,0.0033375956557563217,-0.021542401835488827,0.0003172923435366003,0.013754479829714292
2018-08-10,0.030361837185892634,-0.052033431588994594,0.011294886054490668,0.008846552221264754,-0.027646372523281195,0.01061394401624517,0.0024404234765590988
2018-08-17,0.036573790130741524,-0.03250052129413755,-0.030060935321819766,-0.009272412667476483,-0.08656910770755998,-0.039916451073521264,-0.0036625609271662874
2018-08-24,0.1930544701729886,0.02802739315219308,0.016262289115661986,0.007593388627727247,0.07344084080741346,0.10608730125025082,0.014461650698025543
2018-08-31,0.048432681668396746,0.010146097943613439,-0.002017254907080465,0.03561296567456225,0.03526820828898429,0.031151551213311365,0.022594662028349588
2018-09-07,0.08415997703060245,-0.1254753248344004,-0.04479108965234688,-0.037367252783239255,-0.15764739500600633,-0.03192837008369849,-0.030130482372138608
