#{"t_start": 1763831774.8091872, "env_id": "None"}
r,l,t
22.186285,79,0.036013
22.10981,79,0.064655
25.265219,79,0.095725
26.4936,79,1.058103
26.085398,79,1.090528
25.195147,79,1.121345
24.313696,79,2.029842
23.866339,79,2.065636
22.656189,79,2.097944
22.76446,79,2.963238
23.882963,79,2.99543
21.81226,79,3.026558
21.852283,79,3.784169
23.93989,79,3.814733
21.70763,79,3.846603
24.192152,79,3.876684
24.680246,79,4.682653
23.150452,79,4.713452
24.599339,79,4.743902
23.40688,79,5.656797
24.840235,79,5.688032
25.26535,79,5.720419
23.653236,79,6.506274
24.271296,79,6.537363
25.3081,79,6.568987
23.09031,79,7.347709
23.147987,79,7.381377
21.485462,79,7.418362
23.58251,79,7.450416
23.12183,79,8.327147
24.264223,79,8.358199
26.13405,79,8.388543
21.908213,79,9.145485
23.897154,79,9.175586
23.543451,79,9.207631
24.298502,79,10.054386
22.776323,79,10.08463
22.460266,79,10.115373
23.713312,79,10.854384
22.733109,79,10.88419
25.047438,79,10.917134
25.227886,79,10.947204
23.290363,79,11.798868
24.213427,79,11.85223
26.344908,79,12.037009
26.385773,79,12.860238
23.6406,79,12.892348
25.590677,79,12.924268
24.153473,79,13.791818
23.66471,79,13.82393
24.114017,79,13.886001
24.010475,79,14.689675
23.833847,79,14.720264
25.382488,79,14.751478
24.809391,79,14.780743
23.746439,79,15.59467
26.175844,79,15.624438
25.667892,79,15.653857
24.47054,79,16.477306
25.802427,79,16.506815
26.84744,79,16.538509
24.956465,79,17.307598
24.824205,79,17.338613
25.443762,79,17.370976
25.342262,79,18.124077
23.673445,79,18.155228
24.007856,79,18.187875
24.708307,79,18.217873
23.6888,79,19.063213
23.361734,79,19.093351
24.88047,79,19.127278
26.672981,79,19.927068
21.780537,79,19.95789
27.740677,79,19.991154
26.050365,79,20.84926
26.664465,79,20.934671
27.158672,79,20.967439
27.910358,79,21.88046
25.948477,79,21.913867
24.701296,79,21.946133
22.692902,79,21.981302
25.615273,79,22.824704
26.43915,79,22.85464
25.043947,79,22.884201
26.822546,79,23.741382
26.544376,79,23.771608
24.414186,79,23.803391
23.84661,79,24.583538
26.77468,79,24.615794
26.763716,79,24.646604
26.312645,79,25.462541
24.533829,79,25.49489
26.878586,79,25.525122
23.941944,79,26.268492
26.0982,79,26.298815
25.642889,79,26.330703
28.381168,79,26.36086
25.981619,79,27.157832
24.308643,79,27.188793
26.946281,79,27.219617
26.540289,79,27.968875
25.341923,79,28.026234
26.44196,79,28.055416
26.475979,79,28.800089
26.757675,79,28.830171
26.19252,79,28.861913
26.999722,79,29.594009
27.50564,79,29.624255
27.005356,79,29.657031
26.598879,79,29.779687
25.370735,79,30.558038
27.742552,79,30.589357
25.247215,79,30.619674
27.967533,79,31.380731
27.967758,79,31.410881
26.75408,79,31.442623
28.478245,79,32.201169
26.485334,79,32.231875
29.950008,79,32.262674
28.742296,79,33.006441
30.617968,79,33.039066
29.938128,79,33.069575
25.448765,79,33.099875
28.081388,79,33.881043
27.71599,79,33.909981
25.477806,79,33.94053
26.82065,79,34.7039
29.936308,79,34.734715
26.952406,79,34.764499
28.157623,79,35.49366
30.37951,79,35.523846
29.979044,79,35.556078
29.063583,79,36.305243
27.97288,79,36.335577
29.546507,79,36.367498
29.281984,79,36.398542
27.447237,79,37.536592
29.594906,79,37.567483
28.513199,79,37.600044
28.698471,79,38.374409
31.352037,79,38.405307
28.046368,79,38.435682
28.187016,79,39.266657
29.09386,79,39.297158
28.59045,79,39.329714
29.947004,79,40.092181
27.782213,79,40.123272
30.153465,79,40.153704
30.206125,79,40.185163
28.110422,79,40.993809
29.42171,79,41.025982
30.307884,79,41.172966
30.031797,79,41.93014
28.528143,79,41.961934
28.768091,79,41.991691
28.161701,79,42.74309
28.744295,79,42.773104
28.98421,79,42.804742
30.055788,79,43.566427
30.919079,79,43.604185
30.866356,79,43.636366
30.093264,79,43.672245
30.54635,79,44.460934
29.472017,79,44.490957
30.349218,79,44.521068
29.146128,79,45.310542
29.88108,79,45.343487
29.91396,79,45.374775
28.619555,79,46.264368
31.394169,79,46.29625
28.158417,79,46.325338
30.072369,79,47.093765
28.02915,79,47.125827
30.693935,79,47.154881
30.61656,79,47.90389
31.015326,79,47.934794
30.379366,79,47.966731
29.421175,79,48.023848
30.15612,79,49.039233
30.26934,79,49.071815
29.68125,79,49.104957
29.730467,79,49.897498
30.785686,79,49.928708
30.492384,79,49.96158
29.744541,79,50.811076
28.069841,79,50.841667
28.782272,79,50.871536
30.2104,79,51.642634
27.759535,79,51.673805
29.961554,79,51.704459
31.211323,79,51.735866
29.749565,79,52.518599
30.515121,79,52.548696
30.43965,79,52.580629
29.865372,79,53.411705
31.62812,79,53.442381
30.591131,79,53.474114
31.812244,79,54.232567
30.255857,79,54.263755
30.743168,79,54.296073
29.18075,79,55.074061
30.21808,79,55.105257
29.959309,79,55.166751
30.729162,79,55.200173
31.016977,79,56.016908
31.564186,79,56.04785
31.820461,79,56.079246
31.603428,79,56.813316
31.768734,79,56.843737
31.853842,79,56.874688
32.733868,79,57.745389
30.90712,79,57.777798
31.619928,79,57.807975
30.628908,79,58.525405
32.099613,79,58.555428
30.425339,79,58.585194
30.777712,79,58.616492
28.87866,79,59.383084
31.836298,79,59.413584
30.76202,79,59.444057
31.600887,79,60.172014
30.638784,79,60.20331
32.074875,79,60.232251
29.942879,79,61.037275
30.528038,79,61.06816
31.250883,79,61.099492
30.839642,79,61.956138
30.96697,79,62.013987
32.309223,79,62.043948
31.796085,79,62.07404
31.782959,79,62.85788
31.57528,79,62.888108
32.258026,79,62.920408
31.334257,79,63.655768
32.757076,79,63.685733
32.042538,79,63.71564
31.850704,79,64.474277
31.865143,79,64.506053
31.663136,79,64.535017
31.866549,79,65.287276
31.535048,79,65.31612
31.88247,79,65.346771
31.145658,79,65.377518
31.832434,79,66.144266
31.509813,79,66.174821
30.958439,79,66.206682
32.186035,79,66.945687
31.09368,79,66.976128
31.554983,79,67.006488
31.875286,79,67.742304
31.165003,79,67.771205
31.751192,79,67.799894
33.034946,79,68.628275
31.608284,79,68.686224
32.525078,79,68.715839
33.261013,79,68.746999
31.86115,79,69.493293
32.60874,79,69.523229
31.687365,79,69.553156
31.251915,79,70.352008
32.942253,79,70.381831
32.288513,79,70.413796
31.818388,79,71.153286
31.53634,79,71.184082
32.141315,79,71.214073
32.53371,79,71.971898
32.818165,79,72.00393
34.144592,79,72.034165
31.383429,79,72.770039
32.50327,79,72.80038
33.4407,79,72.832104
33.22996,79,72.862123
30.748396,79,73.6407
32.83917,79,73.671767
33.155197,79,73.701289
32.690556,79,74.45047
31.985836,79,74.481123
34.02427,79,74.513321
33.086246,79,75.367373
32.12764,79,75.397484
32.73921,79,75.427239
33.13368,79,76.269002
32.615383,79,76.299746
33.411552,79,76.331694
33.42584,79,76.361523
32.3251,79,77.175111
34.004353,79,77.205644
33.040977,79,77.236154
32.583782,79,77.990448
32.831062,79,78.021069
31.84845,79,78.050462
32.290874,79,78.834558
32.992508,79,78.86449
33.18247,79,78.894739
34.027214,79,79.622557
32.534065,79,79.653645
32.662857,79,79.685347
32.903046,79,79.715241
32.892258,79,80.481168
31.583303,79,80.513858
33.86296,79,80.544268
34.446243,79,81.375688
32.73518,79,81.405841
32.95041,79,81.465116
32.79613,79,82.198811
34.24795,79,82.229395
34.144157,79,82.25995
34.83447,79,83.004352
34.902016,79,83.036594
33.771492,79,83.066888
34.402008,79,83.097225
32.43029,79,83.861718
33.33158,79,83.892137
31.87843,79,83.922849
34.065346,79,84.66654
34.08898,79,84.696998
33.30958,79,84.728697
32.944496,79,85.515095
33.694393,79,85.546988
33.356995,79,85.576859
33.880276,79,86.3323
34.604412,79,86.362284
32.308254,79,86.394231
33.898273,79,86.424908
33.0801,79,87.211137
32.36252,79,87.243021
34.162792,79,87.273135
33.06994,79,88.095144
34.081024,79,88.125799
34.17346,79,88.186471
33.3983,79,88.90704
32.87653,79,88.938273
34.02687,79,88.968215
34.183285,79,89.71287
33.01874,79,89.743502
33.26917,79,89.775409
33.530525,79,89.805549
32.125687,79,90.61654
34.19128,79,90.646651
33.373684,79,90.67697
33.72916,79,91.423828
33.965237,79,91.456355
33.64573,79,91.486825
32.955276,79,92.232372
33.859226,79,92.262886
33.163303,79,92.29506
34.38137,79,93.069853
35.878986,79,93.100175
32.830643,79,93.131565
34.489967,79,93.882571
34.37496,79,93.913919
34.301533,79,93.944302
35.57029,79,93.97624
34.634357,79,95.067716
33.348328,79,95.190353
33.99943,79,95.22272
34.449444,79,95.979824
34.632664,79,96.010422
33.486134,79,96.041741
35.097626,79,96.768592
34.85673,79,96.800816
34.142647,79,96.831066
34.796738,79,97.577666
34.740234,79,97.608124
34.28454,79,97.63932
33.971844,79,97.669208
35.135376,79,98.480672
34.51998,79,98.510245
33.594128,79,98.539599
34.751106,79,99.333502
34.932175,79,99.366627
34.922356,79,99.399972
34.453674,79,100.404363
34.289295,79,100.435078
33.913586,79,100.467615
35.36193,79,101.289998
34.759872,79,101.326752
35.03446,79,101.456462
34.32539,79,101.488548
34.53115,79,102.406841
35.696312,79,102.437017
35.623333,79,102.468991
34.370422,79,103.3616
34.72703,79,103.393532
34.58619,79,103.42539
35.642338,79,104.259202
35.317436,79,104.36535
35.041016,79,104.4237
34.0668,79,105.27755
34.794296,79,105.309694
35.079483,79,105.345848
34.601517,79,105.37875
34.651325,79,106.390889
34.30017,79,106.425081
35.712296,79,106.462047
34.671146,79,107.207174
36.188663,79,107.237996
34.767673,79,107.268304
35.65788,79,108.019753
35.628742,79,108.052141
35.33591,79,108.082446
34.953964,79,108.823184
34.98592,79,108.853112
35.547024,79,108.885141
35.09983,79,108.915453
35.21982,79,109.81424
35.01717,79,109.858469
35.937626,79,109.888805
35.405247,79,110.649243
34.60555,79,110.680128
35.028446,79,110.710754
34.6006,79,111.493292
35.5744,79,111.523843
34.99921,79,111.554255
35.088314,79,112.293324
36.455193,79,112.323885
34.20211,79,112.356215
35.24521,79,112.386698
35.11148,79,113.164008
36.00494,79,113.196567
35.529663,79,113.227305
34.354324,79,113.982394
35.105522,79,114.014589
36.761772,79,114.045888
36.012253,79,114.763944
36.549835,79,114.794425
34.808865,79,114.824346
35.532333,79,115.570897
35.737957,79,115.603048
36.191257,79,115.633573
35.707664,79,116.515674
35.940098,79,116.547869
36.221416,79,116.578303
34.879906,79,116.608609
36.574085,79,117.427117
35.901417,79,117.457574
35.66556,79,117.489707
35.352077,79,118.251525
35.286266,79,118.28226
35.678024,79,118.312375
35.635452,79,119.041323
35.360428,79,119.073705
35.333313,79,119.103686
35.635323,79,119.857826
36.135223,79,119.888696
36.317463,79,119.920848
36.492958,79,119.951449
36.041874,79,120.781268
35.39569,79,120.811064
35.315807,79,120.842504
35.043,79,121.69905
35.08704,79,121.73019
35.617252,79,121.760976
36.036575,79,122.528637
35.779663,79,122.560631
35.460903,79,122.619233
35.402237,79,123.35951
34.41364,79,123.391604
35.739124,79,123.422174
34.883797,79,123.452631
34.872635,79,124.241998
35.27793,79,124.272391
35.709145,79,124.302401
36.03253,79,125.03228
36.737247,79,125.064549
34.784237,79,125.095047
35.355247,79,125.830579
36.331226,79,125.860502
36.080128,79,125.892324
35.376022,79,126.635335
35.309635,79,126.665877
36.350212,79,126.696347
35.60356,79,126.729006
35.634644,79,127.524754
36.144894,79,127.555659
35.406345,79,127.588222
36.32189,79,128.31944
35.445675,79,128.350233
35.86785,79,128.380849
36.980328,79,129.222468
35.389214,79,129.254374
35.44592,79,129.312306
35.768814,79,130.075494
35.8572,79,130.10776
36.28898,79,130.138129
35.337723,79,130.168465
36.339314,79,130.966024
35.647724,79,130.996648
35.296043,79,131.02688
35.157604,79,131.773889
36.46536,79,131.804414
36.442932,79,131.834896
36.056816,79,132.571686
35.198875,79,132.601434
35.740524,79,132.633591
35.397568,79,133.394903
36.14879,79,133.425662
35.470295,79,133.458285
35.411106,79,133.488253
36.631786,79,134.265563
36.5985,79,134.298278
36.211132,79,134.328757
36.20971,79,135.073802
35.6559,79,135.103676
35.30448,79,135.135512
35.976315,79,135.944904
36.128727,79,136.005455
35.87221,79,136.035382
36.78482,79,136.787321
36.26921,79,136.817774
35.046967,79,136.849606
35.02952,79,136.879843
36.65499,79,137.64256
35.89591,79,137.674401
35.98565,79,137.704842
36.053036,79,138.485179
35.436863,79,138.516915
36.283707,79,138.598043
35.4419,79,139.343699
36.445553,79,139.373657
36.524555,79,139.403457
36.3567,79,140.179795
35.24458,79,140.210728
35.61158,79,140.241303
36.115116,79,140.990991
36.229084,79,141.022884
36.36322,79,141.053546
36.74817,79,141.083388
36.3058,79,141.84749
36.564686,79,141.879804
36.062458,79,141.910205
36.241955,79,142.781169
36.180965,79,142.811719
36.34639,79,142.843425
36.177258,79,143.578012
35.966602,79,143.607837
36.41645,79,143.638501
36.11185,79,144.390728
36.48863,79,144.423148
36.447815,79,144.452911
36.201336,79,144.482546
36.48993,79,145.294751
36.405025,79,145.325057
36.699883,79,145.357177
35.891182,79,146.10657
36.473362,79,146.136473
36.456978,79,146.166179
37.208626,79,146.937511
36.778645,79,146.968273
35.784153,79,146.998112
36.568813,79,147.729927
35.592976,79,147.761731
36.886517,79,147.792411
36.43949,79,147.822968
35.71888,79,148.698346
36.01645,79,148.72988
36.17602,79,148.787901
36.02128,79,149.530292
36.88768,79,149.562829
36.278934,79,149.592767
36.036003,79,150.343512
36.8118,79,150.373305
36.710712,79,150.404798
37.010838,79,151.143372
36.050377,79,151.173795
37.67718,79,151.204265
36.935482,79,151.234267
36.880993,79,152.024081
37.19418,79,152.05398
37.449406,79,152.085796
37.198418,79,152.823776
37.20357,79,152.854483
35.849014,79,152.884902
37.464634,79,153.717415
37.33025,79,153.748104
37.20974,79,153.778228
37.804966,79,154.538949
37.368374,79,154.572074
37.39273,79,154.602562
37.017178,79,154.632945
37.293938,79,155.564708
37.418102,79,155.595419
37.224728,79,155.654928
37.228535,79,156.411621
37.185097,79,156.442949
36.960453,79,156.476268
36.748802,79,157.246597
37.922974,79,157.277044
36.988205,79,157.308862
37.12566,79,158.086187
37.97833,79,158.117435
36.405975,79,158.150021
38.090946,79,158.180198
38.184994,79,159.007263
37.77169,79,159.038406
38.103836,79,159.068396
37.609097,79,159.836387
37.426613,79,159.866745
38.038624,79,159.897103
37.76446,79,160.694
38.368515,79,160.798611
37.374767,79,160.84426
38.08846,79,161.632273
37.410362,79,161.664419
38.210247,79,161.695175
38.70689,79,162.46444
38.578716,79,162.49607
37.788567,79,162.556213
37.816494,79,162.588133
37.334263,79,163.369932
38.1724,79,163.400049
37.48001,79,163.432034
37.881866,79,164.211646
37.93255,79,164.244114
37.744884,79,164.275072
38.13304,79,165.069771
37.813736,79,165.1022
37.93274,79,165.133002
36.80242,79,165.904277
38.268967,79,165.936935
37.406258,79,165.968077
37.732628,79,165.998735
38.098106,79,166.809653
37.71452,79,166.839513
38.368767,79,166.870972
37.123013,79,168.057398
37.975143,79,168.10283
37.605305,79,168.157742
38.300148,79,170.264331
37.559807,79,170.305874
36.466335,79,170.340438
37.432034,79,171.363328
37.779545,79,171.446396
38.0709,79,171.491601
37.55143,79,171.531033
37.6362,79,172.397954
36.934334,79,172.432314
37.264416,79,172.465268
36.566086,79,173.291115
37.959053,79,173.322997
37.473717,79,173.355791
36.77038,79,174.16385
37.80256,79,174.194486
37.98558,79,174.226327
37.73447,79,174.997208
37.699192,79,175.030148
38.280907,79,175.063618
37.990105,79,175.095498
38.175613,79,175.939471
37.59658,79,175.970218
37.740574,79,176.002168
37.242935,79,176.909209
37.930298,79,176.9397
37.195034,79,176.971584
37.299976,79,177.754856
37.775368,79,177.787723
37.750847,79,177.822537
37.91101,79,178.608649
38.27592,79,178.670426
38.074646,79,178.701376
38.006485,79,178.731919
38.023445,79,179.545862
36.15077,79,179.576457
37.597404,79,179.608941
37.456448,79,180.358434
37.290188,79,180.388683
38.521496,79,180.418854
37.013084,79,181.330546
38.550533,79,181.36159
37.82552,79,181.391767
37.70534,79,182.156894
38.251698,79,182.191068
37.367336,79,182.224696
37.610714,79,182.259764
38.00479,79,183.132397
37.326553,79,183.164482
37.94926,79,183.198281
38.34867,79,183.969614
38.22432,79,184.000591
37.95262,79,184.033229
38.034267,79,184.790012
38.43569,79,184.81995
38.41527,79,184.850983
38.17717,79,185.661642
37.42904,79,185.69382
37.78221,79,185.727809
37.775124,79,186.509887
38.42563,79,186.544156
38.193268,79,186.576017
37.99125,79,186.606688
38.3162,79,187.376227
38.45452,79,187.408384
37.966587,79,187.438865
37.93471,79,188.176735
38.38613,79,188.207629
38.31305,79,188.239337
38.53767,79,189.117114
38.258396,79,189.147582
37.931793,79,189.180476
38.03027,79,189.916338
38.318623,79,189.946704
37.15336,79,189.976665
38.736645,79,190.006635
37.65782,79,190.792344
38.464325,79,190.825091
38.43256,79,190.856191
39.021137,79,191.642142
38.36294,79,191.672933
38.621887,79,191.733056
38.307636,79,192.487365
38.627605,79,192.517391
38.88069,79,192.549068
37.93399,79,193.319887
38.57013,79,193.350501
38.4024,79,193.381174
38.65822,79,193.412903
38.051014,79,194.213675
38.568394,79,194.24594
38.844543,79,194.276338
38.507694,79,195.036662
37.732887,79,195.067515
38.485455,79,195.099868
38.127617,79,195.879733
37.96969,79,195.910019
38.052402,79,195.941519
38.39628,79,196.776366
38.57238,79,196.806074
38.177505,79,196.835596
38.85973,79,196.866894
37.783543,79,197.659479
38.845436,79,197.689385
38.750435,79,197.721559
38.649963,79,198.51227
38.516724,79,198.545695
38.95932,79,198.605403
37.856384,79,199.42647
38.476055,79,199.458181
38.431774,79,199.490728
38.150284,79,200.262871
38.367912,79,200.293769
38.25043,79,200.324176
38.193275,79,200.356704
38.376305,79,201.181981
38.06385,79,201.214284
38.804325,79,201.245912
38.885105,79,202.073687
39.07613,79,202.104367
38.742554,79,202.136926
38.007698,79,203.068528
38.75919,79,203.098993
39.45317,79,203.129442
37.85141,79,203.884423
39.267998,79,203.916094
39.071175,79,203.946076
38.999035,79,203.975916
38.890198,79,204.791268
38.939064,79,204.82125
39.110954,79,204.852983
38.70085,79,205.605363
38.897186,79,205.664601
39.037933,79,205.696939
39.108723,79,206.445642
38.248463,79,206.476307
39.14919,79,206.506767
38.705124,79,207.254949
39.09998,79,207.287528
38.87413,79,207.317901
38.34116,79,207.348295
38.231148,79,208.107196
39.152042,79,208.138091
38.997883,79,208.168736
38.02132,79,208.9791
39.23661,79,209.009627
38.671406,79,209.040072
38.869896,79,209.811683
38.6159,79,209.841442
39.029396,79,209.871027
37.696648,79,210.706247
39.08613,79,210.738462
39.4371,79,210.768866
38.756927,79,211.514932
38.574635,79,211.545033
39.711548,79,211.574842
38.839787,79,211.607095
38.1633,79,212.438414
38.658863,79,212.468506
38.864014,79,212.498268
39.36325,79,213.271397
38.9101,79,213.301932
39.252686,79,213.332333
38.713802,79,214.161852
38.46299,79,214.192297
39.184566,79,214.223658
39.362022,79,214.952924
38.86698,79,214.983052
38.847424,79,215.012762
37.994984,79,215.042456
39.11226,79,215.815198
39.294083,79,215.845806
39.539497,79,215.876362
38.614464,79,216.594408
39.562126,79,216.624315
38.769753,79,216.655586
39.503117,79,217.46302
38.800266,79,217.494965
39.11509,79,217.52582
38.91667,79,218.386803
39.027885,79,218.419642
38.9883,79,218.45381
39.088726,79,218.485412
38.933163,79,219.318098
39.385246,79,219.350241
38.96775,79,219.387533
38.87357,79,220.205868
39.039696,79,220.23838
38.962486,79,220.268709
39.23618,79,221.047477
39.288902,79,221.078856
39.230293,79,221.1083
39.594864,79,221.938817
39.560806,79,221.971295
39.417164,79,222.006052
39.306866,79,222.039204
39.077126,79,222.865062
38.5736,79,222.896349
39.35233,79,222.926273
39.532757,79,223.682633
39.15301,79,223.712387
39.107723,79,223.74209
39.029175,79,224.575546
38.638702,79,224.605936
37.88631,79,224.637863
38.789032,79,225.384776
38.959797,79,225.414791
38.254883,79,225.444735
39.67462,79,225.505327
38.523087,79,226.293914
38.670986,79,226.325661
38.472507,79,226.355813
38.49783,79,227.100215
39.40036,79,227.129862
39.66806,79,227.162123
39.446693,79,227.904996
39.317123,79,227.935606
38.906414,79,227.966127
38.907284,79,228.700035
39.16312,79,228.73154
39.303112,79,228.763364
39.174427,79,228.795394
38.843952,79,229.644824
39.762966,79,229.677313
38.881004,79,229.70733
38.95315,79,230.464761
39.172096,79,230.494732
38.700825,79,230.526908
39.006824,79,231.296067
39.61165,79,231.328093
39.46048,79,231.362218
39.591667,79,232.236669
39.59031,79,232.267168
39.540947,79,232.326073
39.296772,79,233.072646
39.849472,79,233.103576
39.64003,79,233.135797
38.9719,79,233.166494
39.964565,79,233.94428
40.040123,79,233.976403
39.23679,79,234.006353
39.537983,79,234.762398
39.974136,79,234.793439
39.134743,79,234.82618
39.929886,79,235.798647
39.3231,79,235.830179
39.032265,79,235.861058
39.747498,79,236.617361
39.300274,79,236.647643
39.533405,79,236.680515
39.887383,79,236.711244
39.900276,79,237.540384
39.784325,79,237.571055
39.274925,79,237.603281
40.0453,79,238.375494
39.841515,79,238.405466
39.683918,79,238.435284
40.18598,79,239.237837
39.618958,79,239.26778
40.004723,79,239.32778
39.501812,79,240.089325
39.558163,79,240.121722
39.8008,79,240.151761
39.391987,79,240.181524
39.77186,79,240.993085
39.713688,79,241.023234
40.073677,79,241.053328
39.083923,79,241.953904
39.87198,79,241.984928
39.077557,79,242.014815
39.747105,79,242.833021
39.49192,79,242.862967
39.494095,79,242.895453
39.91749,79,243.642348
39.400475,79,243.674886
39.841957,79,243.707279
39.463448,79,243.744618
39.806465,79,244.583888
39.09832,79,244.614609
