#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
4.8840685,18,9.721867
4.772277,18,9.728133
4.5343943,18,9.734187
4.893174,18,9.740796
3.6119728,18,9.746729
4.903012,18,9.753261
4.175165,18,9.759565
4.192146,18,9.765826
4.497948,18,10.18569
5.1278586,18,10.192274
4.9561086,18,10.198307
4.246217,18,10.204969
5.221539,18,10.21358
4.470407,18,10.22037
4.2260976,18,10.226737
3.9926841,18,10.23289
5.0835915,18,10.23995
3.9495118,18,10.246134
4.464649,18,10.252796
5.1586995,18,10.259381
3.1594207,18,10.265386
4.188096,18,10.272159
4.609061,18,10.69652
4.4647136,18,10.703385
4.5154734,18,10.71024
4.35393,18,10.717901
3.9791217,18,10.724985
4.597905,18,10.731919
4.8843436,18,10.741553
4.2899737,18,10.748695
4.208559,18,10.756048
5.48798,18,10.763211
3.9748785,18,10.77022
4.955508,18,10.776939
4.22916,18,10.783615
4.270118,18,10.791306
5.0787573,18,11.251507
4.840361,18,11.262597
5.5391326,18,11.268977
5.0784726,18,11.275257
5.0765204,18,11.282065
5.0553827,18,11.288839
5.2930503,18,11.29534
4.646631,18,11.301787
4.026936,18,11.309454
4.358232,18,11.316181
5.102612,18,11.322838
4.6947403,18,11.329702
5.0598016,18,11.336434
3.9481397,18,11.343079
5.1096244,18,11.890446
4.094974,18,11.900812
4.0932508,18,11.909995
4.6761184,18,11.916908
4.642373,18,11.9241
4.2737646,18,11.931254
5.6506844,18,11.93914
4.5718403,18,11.946133
4.9192038,18,11.953162
4.520567,18,11.959855
5.3895974,18,11.966038
4.3668427,18,11.972782
4.5010996,18,11.97896
4.680212,18,11.9854
5.151017,18,12.379585
6.0378275,18,12.386723
5.9378614,18,12.395504
4.572263,18,12.423857
4.625226,18,12.443724
5.496078,18,12.458751
4.66918,18,12.472191
5.267168,18,12.496986
4.7319756,18,12.531549
4.6601324,18,12.556313
5.584639,18,12.68178
4.676479,18,12.711843
5.5137796,18,12.720861
5.296721,18,12.72779
4.943992,18,12.734926
5.8637195,18,13.213343
4.654042,18,13.220373
5.4501395,18,13.227003
5.059144,18,13.23368
5.4077325,18,13.240941
5.7394266,18,13.247386
4.983323,18,13.309294
4.9201465,18,13.316338
5.087813,18,13.323737
4.7893524,18,13.330501
4.826089,18,13.337352
5.4492455,18,13.344241
4.8981504,18,13.350672
4.4150043,18,13.357876
5.5759454,18,13.791782
4.3603973,18,13.797897
5.656145,18,13.804461
5.982508,18,13.810732
4.9488277,18,13.816676
4.313709,18,13.823175
5.3469677,18,13.829129
5.438388,18,13.836971
5.125472,18,13.844878
4.8418837,18,13.851205
5.4814897,18,13.857817
5.4572725,18,13.864176
5.5775523,18,13.870672
4.882448,18,13.876889
5.366849,18,14.2809
5.4074125,18,14.287782
4.811864,18,14.294255
5.2131906,18,14.300303
5.2349973,18,14.306676
4.7953725,18,14.313029
4.1248174,18,14.319318
5.366499,18,14.325418
4.8742156,18,14.331437
4.7538853,18,14.337951
4.58127,18,14.343921
5.2267294,18,14.349922
4.9736314,18,14.356032
4.618708,18,14.364726
5.8687577,18,14.9836
5.1932864,18,14.990556
5.788658,18,14.997186
5.3678527,18,15.003615
5.0058365,18,15.009975
5.793721,18,15.016161
5.801249,18,15.022897
5.484711,18,15.028951
5.2742486,18,15.034941
5.532218,18,15.041716
4.7314415,18,15.048052
5.157272,18,15.054342
6.4616976,18,15.060407
5.69734,18,15.06817
5.733516,18,15.075483
4.7326555,18,15.469189
5.461828,18,15.475718
5.357048,18,15.481989
5.8441854,18,15.493029
5.8055716,18,15.500297
5.9466853,18,15.506684
5.325417,18,15.512985
4.8340917,18,15.519464
5.9932017,18,15.526074
4.643636,18,15.532449
5.8933024,18,15.538861
5.456964,18,15.545047
4.9041977,18,15.55122
5.536568,18,15.557839
5.80855,18,16.011322
5.384482,18,16.02043
5.8337703,18,16.027096
5.438253,18,16.033403
5.0485067,18,16.040107
4.7548327,18,16.046396
5.2907543,18,16.052802
4.794283,18,16.059342
5.917462,18,16.065575
6.070722,18,16.071983
5.472824,18,16.078254
5.580306,18,16.084508
5.947646,18,16.090939
5.9971066,18,16.09722
6.0564427,18,16.500443
5.9234557,18,16.507417
5.0520983,18,16.513828
5.995244,18,16.520155
5.263215,18,16.526469
5.910351,18,16.532738
5.4666624,18,16.539109
5.373745,18,16.547866
6.0939045,18,16.554361
5.6733074,18,16.560907
5.8152294,18,16.567261
6.436613,18,16.573776
4.890848,18,16.579995
6.0616813,18,16.586308
6.296145,18,17.142539
6.2885847,18,17.149101
5.679733,18,17.155622
4.7337036,18,17.161999
5.6405745,18,17.168707
5.570808,18,17.174827
