#{"t_start": 1763831425.305771, "env_id": "None"}
r,l,t
12.38333,49,0.055323
13.77029,49,0.131765
14.68017,49,0.160328
14.87812,49,0.17918
12.886663,49,0.197103
14.44912,49,1.014786
13.03993,49,1.032999
11.250008,49,1.051606
11.339884,49,1.072572
13.210243,49,1.09069
13.650283,49,1.865313
12.151074,49,1.883679
12.333631,49,1.901949
12.583419,49,1.922971
15.655155,49,1.941434
13.628384,49,2.694506
11.406643,49,2.71261
14.353346,49,2.73104
14.476656,49,2.751647
13.944415,49,2.76953
13.84169,49,3.545456
14.935936,49,3.563355
12.682844,49,3.581681
15.338123,49,3.602463
12.700939,49,3.620149
14.256037,49,3.637778
14.173371,49,4.533118
13.745871,49,4.553777
11.269915,49,4.57208
14.789592,49,4.590604
15.37957,49,4.608909
13.046643,49,5.417572
13.761023,49,5.436874
14.588344,49,5.455462
14.202112,49,5.473701
13.636797,49,5.494907
13.849795,49,6.261295
14.153151,49,6.279724
15.766274,49,6.297336
12.804126,49,6.315065
14.375561,49,6.388502
14.2485075,49,7.16427
15.521198,49,7.185255
15.256545,49,7.203092
14.418581,49,7.221692
13.243701,49,7.239409
14.10083,49,7.257819
15.17729,49,8.05458
15.996212,49,8.072769
14.948754,49,8.090806
13.8975725,49,8.108784
14.050573,49,8.129595
14.869936,49,9.011525
14.636579,49,9.02956
14.009459,49,9.047894
14.681169,49,9.069954
15.021185,49,9.088239
14.861051,49,9.847571
13.963088,49,9.865666
14.967556,49,9.883855
14.972782,49,9.904035
14.600653,49,9.922106
14.967917,49,10.671007
15.066623,49,10.689327
14.104267,49,10.707083
14.552077,49,10.724615
15.235096,49,10.745315
16.521328,49,11.533425
12.517314,49,11.551649
14.875177,49,11.569451
14.570199,49,11.590591
16.456928,49,11.608321
15.257888,49,11.626985
14.780844,49,12.421577
16.313522,49,12.441134
14.984708,49,12.531453
15.904542,49,12.569059
14.817477,49,12.587623
16.072596,49,13.365186
15.131197,49,13.386142
15.232392,49,13.403982
15.554625,49,13.469202
16.458546,49,13.489317
17.64062,49,14.26711
17.07653,49,14.285135
15.37969,49,14.302975
15.407978,49,14.323428
14.765746,49,14.342326
16.100246,49,15.124129
17.02137,49,15.142485
17.243643,49,15.163628
17.67117,49,15.182304
17.051138,49,15.200668
16.766829,49,15.218766
15.400774,49,16.009023
15.496938,49,16.027164
16.195028,49,16.045151
16.57958,49,16.062863
15.033322,49,16.080651
16.539797,49,16.953116
16.636288,49,16.971778
17.736572,49,16.990243
14.998155,49,17.008394
17.222322,49,17.026548
15.460296,49,17.78793
16.676641,49,17.806252
16.486902,49,17.824313
16.509083,49,17.84236
16.2685,49,17.860267
16.363144,49,18.632532
16.420948,49,18.651435
17.376394,49,18.669253
16.318438,49,18.688068
16.110275,49,18.709375
15.637267,49,19.635588
15.188807,49,19.654634
16.683096,49,19.675617
16.087934,49,19.693868
15.81886,49,19.711625
15.944009,49,19.729457
18.056904,49,20.531526
17.931194,49,20.549945
