treasury_10y,fed_funds_rate,yield_curve_2_10,real_yield_10y,vix,vix_regime,credit_spread,unemployment_rate,month_sin,month_cos,quarter_sin,quarter_cos,date,ticker
-0.20910049445303355,0.06340026515946237,-0.3627106787125781,-0.20910049445303364,-1.1728734511216077,-0.30953241157167943,0.018390741472449873,0.0,0.5990468238054848,1.2553080081592494,1.3377216276780128,0.09288103752413648,2020-01-03,NVDA
-0.17634579985579485,0.07715285214379476,-0.3503262318980675,-0.1763457998557949,-1.3525262342861326,-0.30953241157167943,0.018390741472449873,0.0,0.5990468238054848,1.2553080081592494,1.3377216276780128,0.09288103752413648,2020-01-10,NVDA
-0.16660800609634074,0.09090543912812715,-0.3647747121724748,-0.1666080060963408,-1.4091291691831607,-0.30953241157167943,0.018390741472449873,0.0,0.5990468238054848,1.2553080081592494,1.3377216276780128,0.09288103752413648,2020-01-17,NVDA
-0.30382337045715796,0.07275201119330689,-0.49068235258452186,-0.303823370457158,-1.1064265377511384,-0.30953241157167943,0.018390741472449873,0.0,0.5990468238054848,1.2553080081592494,1.3377216276780128,0.09288103752413648,2020-01-24,NVDA
-0.4463503354367935,0.0837540807807728,-0.6774797797426957,-0.4463503354367936,-0.5797732200241048,-0.30953241157167943,0.018390741472449873,0.0,0.5990468238054848,1.2553080081592494,1.3377216276780128,0.09288103752413648,2020-01-31,NVDA
-0.3950052497362599,0.08815492173126067,-0.6258783281074519,-0.39500524973625994,-0.9944511946036327,-0.30953241157167943,0.018390741472449873,0.0,1.1230745306363976,0.7401347074882332,1.3377216276780128,0.09288103752413648,2020-02-07,NVDA
-0.3861525468611344,0.0975066677651052,-0.6331023837033078,-0.3861525468611345,-1.2147104183084734,-0.30953241157167943,0.018390741472449873,0.0,1.1230745306363976,0.7401347074882332,1.3377216276780128,0.09288103752413648,2020-02-14,NVDA
-0.48972812574038427,0.08815492173126067,-0.7363055330289258,-0.4897281257403843,-0.796340981138775,-0.30953241157167943,0.018390741472449873,0.0,1.1230745306363976,0.7401347074882332,1.3377216276780128,0.09288103752413648,2020-02-21,NVDA
-0.7942577487498482,-0.07027502459876497,-0.7940992080714249,-0.7942577487498483,2.0374971089533105,-0.30953241157167943,0.018390741472449873,0.0,1.1230745306363976,0.7401347074882332,1.3377216276780128,0.09288103752413648,2020-02-28,NVDA
-1.1669524557319142,-0.5186098029361765,-0.3874793570433604,-1.1669524557319142,2.262678087195912,-0.30953241157167943,0.018390741472449873,0.0,1.314881983623416,0.036394891420146194,1.3377216276780128,0.09288103752413648,2020-03-06,NVDA
-0.950063609745245,-0.6132276866391432,0.042877155585538056,-0.950063609745245,4.217940570460694,-0.30953241157167943,0.018390741472449873,0.0,1.314881983623416,0.036394891420146194,1.3377216276780128,0.09288103752413648,2020-03-13,NVDA
-0.9615719546328526,-0.7650563920364081,0.31430110029367797,-0.9615719546328526,5.228179712081345,-0.30953241157167943,0.018390741472449873,0.0,1.314881983623416,0.036394891420146194,1.3377216276780128,0.09288103752413648,2020-03-20,NVDA
-1.1288862132814994,-0.7788089913165231,0.14504816515364247,-1.1288862132814994,5.166654787947596,-0.30953241157167943,0.018390741472449873,0.0,1.314881983623416,0.036394891420146194,1.3377216276780128,0.09288103752413648,2020-03-27,NVDA
